Hydrogen	H	1	1.00794	0.0899	14.01	20.28	Gas	14.01	20.28	1293000	32.97	0.558	0.452	\N	14300	7/5	\N	0.1805	\N	\N	0.01121	\N	\N	\N	\N	\N	\N	\N	1.000132	1270	1	2.2	72.8	808.65	255.15	2.1	1966	EU215-605-7	4	3	0	RTECSMW8900000	\N	s	1	1	1s1	Colorless	Diatomic	CAS1333-74-0	CID783	Gmelin3	\N	\N	\N	\N	\N	Diamagnetic	\N	-2.48e-08	-2.5e-11	-2.23e-09	75	75	2.4	0.15	11	10	5.3e-11	3.7e-11	1.2e-10	P63/mmc	194	Inf	Inf	\N	2S1/2	0.332	0.011	1	1	7c8f376a-07dc-4264-8fc0-cdeadf32ea84
Helium	He	2	4.002602	0.1785	\N	4.21999999999997	Gas	\N	4.22	\N	5.19	0.02	0.083	\N	\N	5/3	\N	0.1513	\N	\N	0.022424	\N	\N	\N	\N	\N	\N	\N	1.000035	970	0	\N	0	\N	\N	2.2	1963	EU231-168-5	0	1	0	\N	\N	p	18	1	[Xe]4f56s2	Colorless	Monoatomic	CAS7440-59-7	CID23987	Gmelin16294	\N	\N	\N	\N	\N	Diamagnetic	\N	-5.9e-09	-2.36e-11	-1.05e-09	23	23	\N	5.5e-07	7.2e-10	\N	3.1e-11	3.2e-11	1.4e-10	Fm_\n3m	225	Inf	Inf	\N	1S0	0.007	1e-05	1	18	5a076d92-40c2-40af-bada-2dc6b9dabb0d
Lithium	Li	3	6.941	535	453.69	1615.15	Solid	453.69	1615	\N	3223	3	147	-298	1820	\N	\N	85	4.6e-05	512	1.297e-05	\N	6e+05	\N	1.1e+10	4.2e+09	4.9e+09	\N	\N	6000	1	0.98	59.6	452.15	\N	4.3	1415	EU231-102-5	2	3	2	RTECSDS1750000	\N	s	1	2	[He]2s2	Silver	\N	CAS7439-93-2	CID3028194	Gmelin30	\N	Conductor	1.1e+07	9.4e-08	\N	Paramagnetic	\N	6.3e-09	4.37e-11	3.37e-06	6e-07	6e-09	0.00017	0.0017	1.8e-05	3e-06	1.67e-10	1.34e-10	1.82e-10	Im_\n3m	229	Inf	Inf	\N	2S1/2	0.045	\N	2	1	669e0e1d-63f7-4916-8b87-49e21024f7c2
Beryllium	Be	4	9.012182	1848	1560.15	2743.15	Solid	1560	2743	\N	\N	7.95	297	\N	240	\N	\N	190	1.13e-05	1690	4.8767e-06	6e+08	5500000	1.67e+09	1.3e+11	1.32e+11	2.87e+11	0.032	\N	13000	2	1.57	0	\N	\N	6.1	1567	EU231-150-7	1	3	0	RTECSLW3850000	\N	s	2	2	[Xe]4f75d16s2	SlateGray	\N	CAS7440-41-7	CID5460467	Gmelin16256	\N	Conductor	2.5e+07	4e-08	0.026	Diamagnetic	\N	-1.26e-08	-1.136e-10	-2.328e-05	1e-07	1e-08	2.9e-06	0.00019	6e-11	4e-08	1.12e-10	9e-11	\N	P63/mmc	194	Inf	Inf	\N	1S0	0.0092	3e-05	2	2	fa19f469-5133-4f5b-904b-ef299cf78763
Boron	B	5	10.811	2460	2348.15	4273.15	Solid	2348	4273	3390000	\N	50	507	\N	1040	\N	\N	27	6e-06	2080	4.3947e-06	\N	9300000	4.9e+10	3.2e+11	\N	\N	\N	\N	16200	3	2.04	26.7	\N	\N	\N	\N	EU231-151-2	3	2	0	RTECSQW9700000	\N	p	13	2	[He]2s22p3	Black	\N	CAS7440-42-8	CID5462311	Gmelin16262	\N	Insulator	1e-04	10000	\N	Diamagnetic	\N	-8.7e-09	-9.41e-11	-2.14e-05	1e-07	2e-07	0.00016	0.00086	0.00044	7e-05	8.7e-11	8.2e-11	\N	R_\n3m	166	Inf	Inf	\N	2P1/2	755	2.4	2	13	4ada8139-8b23-42ff-966c-5ba140fb82b4
Carbon	C	6	12.0107	2260	3823.15	4300.15	Solid	3823	4300	\N	\N	105	715	-393	165	\N	\N	140	7.1e-06	\N	5.3145e-06	\N	5e+05	\N	3.3e+10	\N	\N	\N	2.417	18350	4	2.55	153.9	758.15	\N	4.2	1361	EU231-153-3	1	0	0	\N	\N	p	14	2	[Xe]4f116s2	Black	\N	CAS7440-44-0	CID5462310	Gmelin8868	\N	Conductor	1e+05	1e-05	\N	Diamagnetic	\N	-6.2e-09	-7.45e-11	-1.4e-05	0.5	0.3	1.5	0.18	0.0028	23	6.7e-11	7.7e-11	1.7e-10	P63/mmc	194	Inf	Inf	\N	3P0	0.0035	1.5e-05	2	14	aec28841-4aa6-4606-8bde-5fbb91b3d449
Nitrogen	N	7	14.0067	1.251	63.05	77.36	Gas	63.05	77.36	2760000	126.21	0.36	2.79	\N	1030	7/5	\N	0.02583	\N	\N	0.011196	\N	\N	\N	\N	\N	\N	\N	1.000298	333.6	3	3.04	7	\N	\N	2.2	1977	EU231-783-9	0	3	0	RTECSQP4450000	\N	p	15	2	[He]2s22p6	Colorless	Diatomic	CAS7727-37-9	CID947	Gmelin150	\N	\N	\N	\N	\N	Diamagnetic	\N	-1e-08	-1.401e-10	-1.251e-08	0.1	0.1	0.14	0.002	5e-05	2.6	5.6e-11	7.5e-11	1.55e-10	P63/mmc	194	Inf	Inf	\N	4S3/2	1.91	0.0048	2	15	c80fdd89-6177-43cb-8a42-061cf5ee0291
Oxygen	O	8	15.9994	1.429	54.85	90.25	Gas	54.8	90.2	\N	154.59	0.222	3.41	\N	154	7/5	\N	0.02658	\N	\N	0.011196	\N	\N	\N	\N	\N	\N	\N	1.000271	317.5	2	3.44	141	\N	\N	2.2	1073	EU231-956-9	0	3	2	RTECSZG1925000	\N	p	16	2	[Xe]4f146s2	Colorless	Diatomic	CAS7782-44-7	CID977	Gmelin485	\N	\N	\N	\N	\N	Paramagnetic	\N	1.335e-06	2.13592e-08	1.90772e-06	1	0.9	40	46	86	61	4.8e-11	7.3e-11	1.52e-10	C12/m1	12	Inf	Inf	\N	3P2	0.00028	1e-06	2	16	2c8ce949-a297-4232-ae1f-bcb616455f46
Fluorine	F	9	18.9984032	1.696	53.55	85.03	Gas	53.5	85.03	\N	144.13	0.26	3.27	\N	904	7/5	\N	0.0277	\N	\N	0.011202	\N	\N	\N	\N	\N	\N	\N	1.000195	\N	1	3.98	328	\N	\N	2.3	9192	EU231-954-8	0	4	4	RTECSBD0330000	\N	p	17	2	[Ne]3s23p1	Colorless	Diatomic	CAS7782-41-4	CID24524	Gmelin16281	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4e-05	5e-05	0.0087	0.054	0.00013	0.0037	4.2e-11	7.1e-11	1.47e-10	C12/c1	15	Inf	Inf	\N	2P3/2	0.0096	2e-05	2	17	4c90eb04-96f1-4af0-921b-023f99efe71d
Neon	Ne	10	20.1797	0.9	24.56	27.07	Gas	24.56	27.07	\N	44.4	0.34	1.75	\N	140	5/3	\N	0.0491	\N	\N	0.02242	\N	\N	\N	\N	\N	\N	\N	1.000067	936	0	\N	0	\N	\N	2.2	1913	EU231-110-9	\N	\N	\N	RTECSWW5505000	\N	p	18	2	[Xe]4f145d36s2	Colorless	Monoatomic	CAS7440-01-9	CID23935	Gmelin16211	\N	\N	\N	\N	\N	Diamagnetic	\N	-4.1e-09	-8.27e-11	-3.69e-09	0.13	0.1	\N	3e-07	1.2e-08	\N	3.8e-11	6.9e-11	1.54e-10	Fm_\n3m	225	Inf	Inf	\N	1S0	0.04	0.0006	2	18	3770a8e3-cba9-44e8-b5ba-2c35342af9e4
